<?xml version="1.0" encoding="UTF-8"?>
Planete;Gain;Coordonnees;Liens2
Alderaan datacrons;Aim +4;X: 1107, Y: 80;http://www.swtor-spy.com/datacrons/alderaan/327/#Alderaan_datacron_Aim4;   
Alderaan datacrons;Presence +3;X: -82, Y: -268;http://www.swtor-spy.com/datacrons/alderaan/327/#Alderaan_datacron_Presence3;   
Alderaan datacrons;Willpower +3;X: -2508, Y: -427;http://www.swtor-spy.com/datacrons/alderaan/327/#Alderaan_datacron_Willpower3;   
Alderaan datacrons;Strength +4;X: 2190, Y: -2019;http://www.swtor-spy.com/datacrons/alderaan/327/#Alderaan_datacron_Strength4;   
Alderaan datacrons;Endurance +3;X: 2721, Y: 2496;http://www.swtor-spy.com/datacrons/alderaan/327/#Alderaan_datacron_Endurance3;   
Balmorra (Empire) datacrons;Strength +2;X: 727, Y: 2033;http://www.swtor-spy.com/datacrons/balmorra-empire/193/#Balmorra (Empire)_datacron_Strength2;   
Balmorra (Empire) datacrons;Aim +2;X: -1017, Y: 1514;http://www.swtor-spy.com/datacrons/balmorra-empire/193/#Balmorra (Empire)_datacron_Aim2;   
Balmorra (Empire) datacrons;Willpower +2;X: 191, Y: -346;http://www.swtor-spy.com/datacrons/balmorra-empire/193/#Balmorra (Empire)_datacron_Willpower2;   
Balmorra (Empire) datacrons;Cunning +2;X: 1853, Y: 111;http://www.swtor-spy.com/datacrons/balmorra-empire/193/#Balmorra (Empire)_datacron_Cunning2;   
Balmorra (Empire) datacrons;Green Matrix Shard;X: -505, Y: 1990;http://www.swtor-spy.com/datacrons/balmorra-empire/193/#Balmorra (Empire)_datacron_GreenMatrixShard;   
Balmorra (Republic) datacrons;Aim +4;X: 191, Y: -346;http://www.swtor-spy.com/datacrons/balmorra-republic/332/#Balmorra (Republic)_datacron_Aim4;   
Balmorra (Republic) datacrons;Cunning +4;X: -1017, Y: 1514;http://www.swtor-spy.com/datacrons/balmorra-republic/332/#Balmorra (Republic)_datacron_Cunning4;   
Balmorra (Republic) datacrons;Presence +4;X: 730, Y: 2030;http://www.swtor-spy.com/datacrons/balmorra-republic/332/#Balmorra (Republic)_datacron_Presence4;   
Balmorra (Republic) datacrons;Endurance +3;X: -485, Y: -233;http://www.swtor-spy.com/datacrons/balmorra-republic/332/#Balmorra (Republic)_datacron_Endurance3;   
Balmorra (Republic) datacrons;Willpower +4;X: -779, Y: 2069;http://www.swtor-spy.com/datacrons/balmorra-republic/332/#Balmorra (Republic)_datacron_Willpower4;   
Belsavis datacrons;Willpower +4;X: -501, Y: 768;http://www.swtor-spy.com/datacrons/belsavis/643/#Belsavis_datacron_Willpower4;   
