DTC_ID;DTC_TITLE;DTC_NO_CODEX_REP;DTC_NO_CODEX_EMP;DTC_COORD_X;DTC_COORD_Y;DTC_URL_DETAILS;DTC_IS_EMP;DTC_IS_REP;PLA_ID;DTG_VALUE;GAIN_INIT
ALDE_EMP_VISE;TO_DEFINE;;;1107;80;http://www.swtor-spy.com/datacrons/alderaan/327/#Alderaan_datacron_Aim4;true;false;ALDE;4;Aim +4
ALDE_EMP_PRES;TO_DEFINE;;;-82;-268;http://www.swtor-spy.com/datacrons/alderaan/327/#Alderaan_datacron_Presence3;true;false;ALDE;3;Presence +3
ALDE_EMP_VOLO;TO_DEFINE;;;-2508;-427;http://www.swtor-spy.com/datacrons/alderaan/327/#Alderaan_datacron_Willpower3;true;false;ALDE;3;Willpower +3
ALDE_EMP_VIGU;TO_DEFINE;;;2190;-2019;http://www.swtor-spy.com/datacrons/alderaan/327/#Alderaan_datacron_Strength4;true;false;ALDE;4;Strength +4
ALDE_EMP_ENDU;TO_DEFINE;;;2721;2496;http://www.swtor-spy.com/datacrons/alderaan/327/#Alderaan_datacron_Endurance3;true;false;ALDE;3;Endurance +3
BALM_EMP_VIGU;TO_DEFINE;;;727;2033;http://www.swtor-spy.com/datacrons/balmorra-empire/193/#Balmorra (Empire)_datacron_Strength2;true;false;BALM;2;Strength +2
BALM_EMP_VISE;TO_DEFINE;;;-1017;1514;http://www.swtor-spy.com/datacrons/balmorra-empire/193/#Balmorra (Empire)_datacron_Aim2;true;false;BALM;2;Aim +2
BALM_EMP_VOLO;TO_DEFINE;;;191;-346;http://www.swtor-spy.com/datacrons/balmorra-empire/193/#Balmorra (Empire)_datacron_Willpower2;true;false;BALM;2;Willpower +2
BALM_EMP_ASTU;TO_DEFINE;;;1853;111;http://www.swtor-spy.com/datacrons/balmorra-empire/193/#Balmorra (Empire)_datacron_Cunning2;true;false;BALM;2;Cunning +2
BALM_EMP_GREE;TO_DEFINE;;;-505;1990;http://www.swtor-spy.com/datacrons/balmorra-empire/193/#Balmorra (Empire)_datacron_GreenMatrixShard;true;false;BALM;0;Green Matrix Shard
BELS_EMP_VOLO;TO_DEFINE;;;-501;768;http://www.swtor-spy.com/datacrons/belsavis/643/#Belsavis_datacron_Willpower4;true;false;BELS;4;Willpower +4
BELS_EMP_ENDU;TO_DEFINE;;;-992;-450;http://www.swtor-spy.com/datacrons/belsavis/643/#Belsavis_datacron_Endurance4;true;false;BELS;4;Endurance +4
BELS_EMP_PRES;TO_DEFINE;;;-1915;-476;http://www.swtor-spy.com/datacrons/belsavis/643/#Belsavis_datacron_Presence4;true;false;BELS;4;Presence +4
BELS_EMP_VISE;TO_DEFINE;;;-785;-1930;http://www.swtor-spy.com/datacrons/belsavis/643/#Belsavis_datacron_Aim4;true;false;BELS;4;Aim +4
BELS_EMP_GREE;TO_DEFINE;;;-315;-2172;http://www.swtor-spy.com/datacrons/belsavis/643/#Belsavis_datacron_GreenMatrixShard;true;false;BELS;0;Green Matrix Shard
